Park_name,Park_id,Entrance,Start_time,Usage_class,Day_type
Battle Creek Regional Park,51,22,12:00 PM,Low,Weekday
Battle Creek Regional Park,51,22,12:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,22,02:00 PM,Low,Weekday
Battle Creek Regional Park,51,22,02:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,22,04:00 PM,Low,Weekday
Battle Creek Regional Park,51,22,04:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,22,06:00 PM,Low,Weekday
Battle Creek Regional Park,51,22,06:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,23,08:00 AM,Low,Weekday
Battle Creek Regional Park,51,23,08:00 AM,Low,Weekend_holiday
Battle Creek Regional Park,51,23,10:00 AM,Low,Weekday
Battle Creek Regional Park,51,23,10:00 AM,Low,Weekend_holiday
Battle Creek Regional Park,51,23,12:00 PM,Low,Weekday
Battle Creek Regional Park,51,23,12:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,23,02:00 PM,Low,Weekday
Battle Creek Regional Park,51,23,02:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,23,04:00 PM,Low,Weekday
Battle Creek Regional Park,51,23,04:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,23,06:00 PM,Low,Weekday
Battle Creek Regional Park,51,23,06:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,24,08:00 AM,Low,Weekday
Battle Creek Regional Park,51,24,08:00 AM,Low,Weekend_holiday
Battle Creek Regional Park,51,24,10:00 AM,Low,Weekday
Battle Creek Regional Park,51,24,10:00 AM,Low,Weekend_holiday
Battle Creek Regional Park,51,24,12:00 PM,Low,Weekday
Battle Creek Regional Park,51,24,12:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,24,02:00 PM,Low,Weekday
Battle Creek Regional Park,51,24,02:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,24,04:00 PM,Low,Weekday
Battle Creek Regional Park,51,24,04:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,24,06:00 PM,Low,Weekday
Battle Creek Regional Park,51,24,06:00 PM,Low,Weekend_holiday
Bald Eagle-Otter Lake Regional Park,52,1,08:00 AM,High,Weekday
Bald Eagle-Otter Lake Regional Park,52,1,08:00 AM,High,Weekend_holiday
Bald Eagle-Otter Lake Regional Park,52,1,10:00 AM,Medium,Weekday
Bald Eagle-Otter Lake Regional Park,52,1,10:00 AM,Medium,Weekend_holiday
Bald Eagle-Otter Lake Regional Park,52,1,12:00 PM,Medium,Weekday
Bald Eagle-Otter Lake Regional Park,52,1,12:00 PM,Medium,Weekend_holiday
Bald Eagle-Otter Lake Regional Park,52,1,02:00 PM,Medium,Weekday
Bald Eagle-Otter Lake Regional Park,52,1,02:00 PM,Medium,Weekend_holiday
Bald Eagle-Otter Lake Regional Park,52,1,04:00 PM,High,Weekday
Bald Eagle-Otter Lake Regional Park,52,1,04:00 PM,Medium,Weekend_holiday
Bald Eagle-Otter Lake Regional Park,52,1,06:00 PM,Low,Weekday
Bald Eagle-Otter Lake Regional Park,52,1,06:00 PM,Low,Weekend_holiday
Bald Eagle-Otter Lake Regional Park,52,2,08:00 AM,Low,Weekday
Bald Eagle-Otter Lake Regional Park,52,2,08:00 AM,High,Weekend_holiday
Bald Eagle-Otter Lake Regional Park,52,2,10:00 AM,Low,Weekday
Bald Eagle-Otter Lake Regional Park,52,2,10:00 AM,Low,Weekend_holiday
Bald Eagle-Otter Lake Regional Park,52,2,12:00 PM,Low,Weekday
Bald Eagle-Otter Lake Regional Park,52,2,12:00 PM,Low,Weekend_holiday
Bald Eagle-Otter Lake Regional Park,52,2,02:00 PM,Medium,Weekday
Bald Eagle-Otter Lake Regional Park,52,2,02:00 PM,Low,Weekend_holiday
Bald Eagle-Otter Lake Regional Park,52,2,04:00 PM,Medium,Weekday
Bald Eagle-Otter Lake Regional Park,52,2,04:00 PM,Medium,Weekend_holiday
Bald Eagle-Otter Lake Regional Park,52,2,06:00 PM,Medium,Weekday
Bald Eagle-Otter Lake Regional Park,52,2,06:00 PM,Medium,Weekend_holiday
Bald Eagle-Otter Lake Regional Park,52,3,08:00 AM,High,Weekday
Bald Eagle-Otter Lake Regional Park,52,3,08:00 AM,High,Weekend_holiday
Bald Eagle-Otter Lake Regional Park,52,3,10:00 AM,Medium,Weekday
Bald Eagle-Otter Lake Regional Park,52,3,10:00 AM,Medium,Weekend_holiday
Bald Eagle-Otter Lake Regional Park,52,3,12:00 PM,Medium,Weekday
Bald Eagle-Otter Lake Regional Park,52,3,12:00 PM,Medium,Weekend_holiday
Bald Eagle-Otter Lake Regional Park,52,3,02:00 PM,High,Weekday
Bald Eagle-Otter Lake Regional Park,52,3,02:00 PM,High,Weekend_holiday
Bald Eagle-Otter Lake Regional Park,52,3,04:00 PM,High,Weekday
Bald Eagle-Otter Lake Regional Park,52,3,04:00 PM,High,Weekend_holiday
Bald Eagle-Otter Lake Regional Park,52,3,06:00 PM,High,Weekday
Bald Eagle-Otter Lake Regional Park,52,3,06:00 PM,High,Weekend_holiday
Bald Eagle-Otter Lake Regional Park,52,4,08:00 AM,Low,Weekday
Bald Eagle-Otter Lake Regional Park,52,4,08:00 AM,Low,Weekend_holiday
Bald Eagle-Otter Lake Regional Park,52,4,10:00 AM,Low,Weekday
Bald Eagle-Otter Lake Regional Park,52,4,10:00 AM,Low,Weekend_holiday
Bald Eagle-Otter Lake Regional Park,52,4,12:00 PM,Low,Weekday
Bald Eagle-Otter Lake Regional Park,52,4,12:00 PM,Low,Weekend_holiday
Bald Eagle-Otter Lake Regional Park,52,4,02:00 PM,Low,Weekday
Bald Eagle-Otter Lake Regional Park,52,4,02:00 PM,Low,Weekend_holiday
Bald Eagle-Otter Lake Regional Park,52,4,04:00 PM,Low,Weekday
Bald Eagle-Otter Lake Regional Park,52,4,04:00 PM,Low,Weekend_holiday
Bald Eagle-Otter Lake Regional Park,52,4,06:00 PM,Low,Weekday
Bald Eagle-Otter Lake Regional Park,52,4,06:00 PM,Low,Weekend_holiday
Bald Eagle-Otter Lake Regional Park,52,5,08:00 AM,Low,Weekday
Bald Eagle-Otter Lake Regional Park,52,5,08:00 AM,Low,Weekend_holiday
Bald Eagle-Otter Lake Regional Park,52,5,10:00 AM,Low,Weekday
Bald Eagle-Otter Lake Regional Park,52,5,10:00 AM,Low,Weekend_holiday
Bald Eagle-Otter Lake Regional Park,52,5,12:00 PM,Low,Weekday
Bald Eagle-Otter Lake Regional Park,52,5,12:00 PM,Low,Weekend_holiday
Bald Eagle-Otter Lake Regional Park,52,5,02:00 PM,Low,Weekday
Bald Eagle-Otter Lake Regional Park,52,5,02:00 PM,Low,Weekend_holiday
Bald Eagle-Otter Lake Regional Park,52,5,04:00 PM,Low,Weekday
Bald Eagle-Otter Lake Regional Park,52,5,04:00 PM,Low,Weekend_holiday
Bald Eagle-Otter Lake Regional Park,52,5,06:00 PM,Low,Weekday
