Year,Park_id,Agency_id,Entrance,Expanded_total,Usage_class,Day_type,Total_visitors,Bikers,Peds_skaters,Vehicles,Buses,Horse_riders,Boaters,Start_time,Date,Half_of_summer,Expansion_factor,ppv_multiplier,ppb_multiplier,Total_days_by_type,Park_name,Agency_name,Date_year,Timeslot,Scheduled_count,Scheduled_date,Date_object
2015,3,1,1,251556.48,High,Weekday,231.21,26,17,59,0,0,0,02:00 PM,2015-07-07,1,16,3.19,26.3,68,Coon Rapids Dam Regional Park,Anoka County,NA,NA,NA,NA,NA
2016,3,1,3,2178,Low,Weekend_holiday,22,12,10,0,0,0,0,06:00 PM,2016-06-12,1,3,3.19,26.3,33,Coon Rapids Dam Regional Park,Anoka County,NA,NA,NA,NA,NA
2016,3,1,3,2376,Low,Weekend_holiday,24,17,7,0,0,0,0,08:00 AM,2016-08-21,2,3,3.19,26.3,33,Coon Rapids Dam Regional Park,Anoka County,NA,NA,NA,NA,NA
2016,3,1,3,3819,Low,Weekday,19,11,8,0,0,0,0,06:00 PM,2016-07-11,1,3,3.19,26.3,67,Coon Rapids Dam Regional Park,Anoka County,NA,NA,NA,NA,NA
2016,3,1,3,5940,Medium,Weekend_holiday,18,10,8,0,0,0,0,04:00 PM,2016-06-18,1,10,3.19,26.3,33,Coon Rapids Dam Regional Park,Anoka County,NA,NA,NA,NA,NA
2016,3,1,6,11390,Medium,Weekday,17,12,5,0,0,0,0,10:00 AM,2016-07-29,2,10,3.19,26.3,67,Coon Rapids Dam Regional Park,Anoka County,NA,NA,NA,NA,NA
2016,3,1,5,12864,High,Weekday,12,12,0,0,0,0,0,12:00 PM,2016-07-05,1,16,3.19,26.3,67,Coon Rapids Dam Regional Park,Anoka County,NA,NA,NA,NA,NA
2016,3,1,3,29480,Medium,Weekday,44,33,11,0,0,0,0,02:00 PM,2016-07-07,1,10,3.19,26.3,67,Coon Rapids Dam Regional Park,Anoka County,NA,NA,NA,NA,NA
2016,3,1,1,76375.2,High,Weekend_holiday,144.65,10,20,35,0,0,3,02:00 PM,2016-06-26,1,16,3.19,26.3,33,Coon Rapids Dam Regional Park,Anoka County,NA,NA,NA,NA,NA
2016,3,1,4,81472,High,Weekday,76,30,46,0,0,0,0,02:00 PM,2016-07-01,1,16,3.19,26.3,67,Coon Rapids Dam Regional Park,Anoka County,NA,NA,NA,NA,NA
2016,3,1,1,133067.36,High,Weekday,124.13,16,22,27,0,0,0,06:00 PM,2016-07-29,2,16,3.19,26.3,67,Coon Rapids Dam Regional Park,Anoka County,NA,NA,NA,NA,NA
2016,3,1,1,194061.12,High,Weekend_holiday,367.54,85,72,66,0,0,0,12:00 PM,2016-07-09,1,16,3.19,26.3,33,Coon Rapids Dam Regional Park,Anoka County,NA,NA,NA,NA,NA
2017,3,1,3,0,Medium,Weekday,0,0,0,0,0,0,0,12:00 PM,2017-08-16,2,12,2.67,26.3,67,Coon Rapids Dam Regional Park,Anoka County,NA,NA,NA,NA,NA
2017,3,1,6,198,Low,Weekend_holiday,1,1,0,0,0,0,0,04:00 PM,2017-06-25,1,6,2.67,26.3,33,Coon Rapids Dam Regional Park,Anoka County,NA,NA,NA,NA,NA
2017,3,1,5,1188,Medium,Weekend_holiday,3,0,3,0,0,0,0,02:00 PM,2017-08-20,2,12,2.67,26.3,33,Coon Rapids Dam Regional Park,Anoka County,NA,NA,NA,NA,NA
2017,3,1,6,3168,Low,Weekend_holiday,16,7,9,0,0,0,0,10:00 AM,2017-08-13,2,6,2.67,26.3,33,Coon Rapids Dam Regional Park,Anoka County,NA,NA,NA,NA,NA
2017,3,1,3,8040,Medium,Weekday,10,4,6,0,0,0,0,08:00 AM,2017-07-10,1,12,2.67,26.3,67,Coon Rapids Dam Regional Park,Anoka County,NA,NA,NA,NA,NA
2017,3,1,5,8712,Medium,Weekend_holiday,22,1,21,0,0,0,0,02:00 PM,2017-05-28,1,12,2.67,26.3,33,Coon Rapids Dam Regional Park,Anoka County,NA,NA,NA,NA,NA
