Park_or_trail_name,Park_trail_id,Entrance_name,Entrance_id,Start_time,Day_type,Usage_class
Battle Creek Regional Park,51,Battle Creek Road Trail Entrance (2),20,10:00 AM,Weekend_holiday,Low
Battle Creek Regional Park,51,Battle Creek Road Trail Entrance (2),20,12:00 PM,Weekday,Low
Battle Creek Regional Park,51,Battle Creek Road Trail Entrance (2),20,12:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Battle Creek Road Trail Entrance (2),20,02:00 PM,Weekday,Low
Battle Creek Regional Park,51,Battle Creek Road Trail Entrance (2),20,02:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Battle Creek Road Trail Entrance (2),20,04:00 PM,Weekday,Low
Battle Creek Regional Park,51,Battle Creek Road Trail Entrance (2),20,04:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Battle Creek Road Trail Entrance (2),20,06:00 PM,Weekday,Low
Battle Creek Regional Park,51,Battle Creek Road Trail Entrance (2),20,06:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Point Douglas - Lower Afton Trail Entrance,21,08:00 AM,Weekday,Low
Battle Creek Regional Park,51,Point Douglas - Lower Afton Trail Entrance,21,08:00 AM,Weekend_holiday,Low
Battle Creek Regional Park,51,Point Douglas - Lower Afton Trail Entrance,21,10:00 AM,Weekday,Low
Battle Creek Regional Park,51,Point Douglas - Lower Afton Trail Entrance,21,10:00 AM,Weekend_holiday,Low
Battle Creek Regional Park,51,Point Douglas - Lower Afton Trail Entrance,21,12:00 PM,Weekday,Low
Battle Creek Regional Park,51,Point Douglas - Lower Afton Trail Entrance,21,12:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Point Douglas - Lower Afton Trail Entrance,21,02:00 PM,Weekday,Low
Battle Creek Regional Park,51,Point Douglas - Lower Afton Trail Entrance,21,02:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Point Douglas - Lower Afton Trail Entrance,21,04:00 PM,Weekday,Low
Battle Creek Regional Park,51,Point Douglas - Lower Afton Trail Entrance,21,04:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Point Douglas - Lower Afton Trail Entrance,21,06:00 PM,Weekday,Low
Battle Creek Regional Park,51,Point Douglas - Lower Afton Trail Entrance,21,06:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Burns Overlook Connection,22,08:00 AM,Weekday,Low
Battle Creek Regional Park,51,Burns Overlook Connection,22,08:00 AM,Weekend_holiday,Low
Battle Creek Regional Park,51,Burns Overlook Connection,22,10:00 AM,Weekday,Low
Battle Creek Regional Park,51,Burns Overlook Connection,22,10:00 AM,Weekend_holiday,Low
Battle Creek Regional Park,51,Burns Overlook Connection,22,12:00 PM,Weekday,Low
Battle Creek Regional Park,51,Burns Overlook Connection,22,12:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Burns Overlook Connection,22,02:00 PM,Weekday,Low
Battle Creek Regional Park,51,Burns Overlook Connection,22,02:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Burns Overlook Connection,22,04:00 PM,Weekday,Low
Battle Creek Regional Park,51,Burns Overlook Connection,22,04:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Burns Overlook Connection,22,06:00 PM,Weekday,Low
Battle Creek Regional Park,51,Burns Overlook Connection,22,06:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,White Bear Avenue and C Street,23,08:00 AM,Weekday,Low
Battle Creek Regional Park,51,White Bear Avenue and C Street,23,08:00 AM,Weekend_holiday,Low
Battle Creek Regional Park,51,White Bear Avenue and C Street,23,10:00 AM,Weekday,Low
Battle Creek Regional Park,51,White Bear Avenue and C Street,23,10:00 AM,Weekend_holiday,Low
