Park_trail,Entrance,Usage_class,Start_time,Day_type
2,3,Medium,1600,Weekend_holiday
2,3,Medium,1600,Weekday
2,4,Medium,1600,Weekend_holiday
2,4,Medium,1600,Weekday
2,9,Medium,1600,Weekend_holiday
2,9,Medium,1600,Weekday
107,6,Medium,1600,Weekend_holiday
107,6,Medium,1600,Weekday
107,7,Medium,1600,Weekend_holiday
107,7,Medium,1600,Weekday
107,8,Medium,1600,Weekend_holiday
107,8,Medium,1600,Weekday
3,3,Medium,1600,Weekend_holiday
3,3,Medium,1600,Weekday
3,5,Medium,1600,Weekend_holiday
3,5,Medium,1600,Weekday
6,2,Medium,1600,Weekend_holiday
6,2,Medium,1600,Weekday
6,4,Medium,1600,Weekend_holiday
6,4,Medium,1600,Weekday
6,5,Medium,1600,Weekend_holiday
6,5,Medium,1600,Weekday
6,6,Medium,1600,Weekend_holiday
6,6,Medium,1600,Weekday
6,10,Medium,1600,Weekend_holiday
6,10,Medium,1600,Weekday
4,2,Medium,1600,Weekend_holiday
4,2,Medium,1600,Weekday
4,4,Medium,1600,Weekend_holiday
4,4,Medium,1600,Weekday
9,1,Medium,1600,Weekend_holiday
9,1,Medium,1600,Weekday
9,4,Medium,1600,Weekend_holiday
9,4,Medium,1600,Weekday
8,6,Medium,1600,Weekend_holiday
8,6,Medium,1600,Weekday
8,7,Medium,1600,Weekend_holiday
8,7,Medium,1600,Weekday
109,1,Medium,1600,Weekend_holiday
109,1,Medium,1600,Weekday
109,2,Medium,1600,Weekend_holiday
109,2,Medium,1600,Weekday
109,4,Medium,1600,Weekend_holiday
109,4,Medium,1600,Weekday
5,4,Medium,1600,Weekend_holiday
5,4,Medium,1600,Weekday
112,2,Medium,1600,Weekend_holiday
112,2,Medium,1600,Weekday
1,1,Medium,1800,Weekend_holiday
1,1,Medium,1800,Weekday
1,2,Medium,1800,Weekend_holiday
1,2,Medium,1800,Weekday
1,4,Medium,1800,Weekend_holiday
1,4,Medium,1800,Weekday
7,2,Medium,1800,Weekend_holiday
7,2,Medium,1800,Weekday
7,10,Medium,1800,Weekend_holiday
7,10,Medium,1800,Weekday
7,11,Medium,1800,Weekend_holiday
7,11,Medium,1800,Weekday
7,13,Medium,1800,Weekend_holiday
7,13,Medium,1800,Weekday
7,14,Medium,1800,Weekend_holiday
7,14,Medium,1800,Weekday
110,2,Medium,1800,Weekend_holiday
110,2,Medium,1800,Weekday
110,4,Medium,1800,Weekend_holiday
110,4,Medium,1800,Weekday
108,2,Medium,1800,Weekend_holiday
108,2,Medium,1800,Weekday
108,5,Medium,1800,Weekend_holiday
108,5,Medium,1800,Weekday
2,3,Medium,1800,Weekend_holiday
2,3,Medium,1800,Weekday
2,4,Medium,1800,Weekend_holiday
2,4,Medium,1800,Weekday
2,9,Medium,1800,Weekend_holiday
2,9,Medium,1800,Weekday
107,6,Medium,1800,Weekend_holiday
107,6,Medium,1800,Weekday
107,7,Medium,1800,Weekend_holiday
107,7,Medium,1800,Weekday
107,8,Medium,1800,Weekend_holiday
107,8,Medium,1800,Weekday
3,3,Medium,1800,Weekend_holiday
3,3,Medium,1800,Weekday
3,5,Medium,1800,Weekend_holiday
3,5,Medium,1800,Weekday
6,2,Medium,1800,Weekend_holiday
6,2,Medium,1800,Weekday
6,4,Medium,1800,Weekend_holiday
6,4,Medium,1800,Weekday
6,5,Medium,1800,Weekend_holiday
6,5,Medium,1800,Weekday
6,6,Medium,1800,Weekend_holiday
6,6,Medium,1800,Weekday
6,10,Medium,1800,Weekend_holiday
6,10,Medium,1800,Weekday
4,2,Medium,1800,Weekend_holiday
4,2,Medium,1800,Weekday
4,4,Medium,1800,Weekend_holiday
4,4,Medium,1800,Weekday
9,1,Medium,1800,Weekend_holiday
9,1,Medium,1800,Weekday
9,4,Medium,1800,Weekend_holiday
9,4,Medium,1800,Weekday
8,6,Medium,1800,Weekend_holiday
8,6,Medium,1800,Weekday
8,7,Medium,1800,Weekend_holiday
8,7,Medium,1800,Weekday
109,1,Medium,1800,Weekend_holiday
109,1,Medium,1800,Weekday
109,2,Medium,1800,Weekend_holiday
109,2,Medium,1800,Weekday
109,4,Medium,1800,Weekend_holiday
109,4,Medium,1800,Weekday
5,4,Medium,1800,Weekend_holiday
5,4,Medium,1800,Weekday
112,2,Medium,1800,Weekend_holiday
112,2,Medium,1800,Weekday
7,3,Low,800,Weekend_holiday
7,3,Low,800,Weekday
7,4,Low,800,Weekend_holiday
7,4,Low,800,Weekday
7,5,Low,800,Weekend_holiday
7,5,Low,800,Weekday
7,7,Low,800,Weekend_holiday
7,7,Low,800,Weekday
7,8,Low,800,Weekend_holiday
7,8,Low,800,Weekday
7,9,Low,800,Weekend_holiday
7,9,Low,800,Weekday
7,12,Low,800,Weekend_holiday
7,12,Low,800,Weekday
110,2,Low,800,Weekend_holiday
110,2,Low,800,Weekday
108,1,Low,800,Weekend_holiday
108,1,Low,800,Weekday
108,2,Low,800,Weekend_holiday
108,2,Low,800,Weekday
108,6,Low,800,Weekend_holiday
108,6,Low,800,Weekday
108,7,Low,800,Weekend_holiday
108,7,Low,800,Weekday
2,1,Low,800,Weekend_holiday
2,1,Low,800,Weekday
2,2,Low,800,Weekend_holiday
2,2,Low,800,Weekday
2,5,Low,800,Weekend_holiday
2,5,Low,800,Weekday
2,7,Low,800,Weekend_holiday
2,7,Low,800,Weekday
2,8,Low,800,Weekend_holiday
2,8,Low,800,Weekday
107,3,Low,800,Weekend_holiday
107,3,Low,800,Weekday
107,9,Low,800,Weekend_holiday
107,9,Low,800,Weekday
3,6,Low,800,Weekend_holiday
3,6,Low,800,Weekday
6,1,Low,800,Weekend_holiday
6,1,Low,800,Weekday
6,3,Low,800,Weekend_holiday
6,3,Low,800,Weekday
6,7,Low,800,Weekend_holiday
6,7,Low,800,Weekday
6,8,Low,800,Weekend_holiday
6,8,Low,800,Weekday
6,9,Low,800,Weekend_holiday
6,9,Low,800,Weekday
6,11,Low,800,Weekend_holiday
6,11,Low,800,Weekday
4,3,Low,800,Weekend_holiday
4,3,Low,800,Weekday
4,5,Low,800,Weekend_holiday
4,5,Low,800,Weekday
9,6,Low,800,Weekend_holiday
9,6,Low,800,Weekday
9,7,Low,800,Weekend_holiday
9,7,Low,800,Weekday
8,5,Low,800,Weekend_holiday
8,5,Low,800,Weekday
8,9,Low,800,Weekend_holiday
8,9,Low,800,Weekday
8,10,Low,800,Weekend_holiday
8,10,Low,800,Weekday
109,3,Low,800,Weekend_holiday
109,3,Low,800,Weekday
109,5,Low,800,Weekend_holiday
109,5,Low,800,Weekday
75,1,Low,800,Weekend_holiday
75,1,Low,800,Weekday
75,2,Low,800,Weekend_holiday
75,2,Low,800,Weekday
75,3,Low,800,Weekend_holiday
75,3,Low,800,Weekday
75,4,Low,800,Weekend_holiday
75,4,Low,800,Weekday
