Year,Park,agency,Entrance,totalsum,samclass,daytype,totalall,Biker,Pedskat,Vehicle,Bus,Horse,Boat,orgstart,gooddate,half,expfact,new2008ppv,newppb,day#s,carpeop,buspeop
2014,4,1,1,7809.12,1,2,28.71,0,0,9,0,0,0,1400,829,2,4,3.19,60,68,28.71,0
2014,4,1,1,8371.44,1,1,63.42,2,4,18,0,0,0,1400,809,2,4,3.19,60,33,57.42,0
2014,4,1,5,8568,3,2,7,5,2,0,0,0,0,1600,527,1,18,3.19,60,68,19.14,0
2014,4,1,1,8755.68,1,2,32.19,7,22,1,0,0,0,1600,610,1,4,3.19,60,68,3.19,0
2014,4,1,1,9761.4,1,1,73.95,36,22,5,0,0,0,1000,726,2,4,3.19,60,33,15.95,0
2014,4,1,5,10098,3,1,17,11,6,0,0,0,0,1600,706,1,18,3.19,60,33,0,0
2014,4,1,1,11633.16,1,1,88.13,2,0,27,0,0,0,1600,712,1,4,3.19,60,33,86.13,0
2014,4,1,1,16107.96,1,1,122.03,0,4,37,0,0,0,1600,719,2,4,3.19,60,33,118.03,0
2014,4,1,1,16617.48,1,1,125.89,21,6,31,0,0,0,1000,608,1,4,3.19,60,33,98.89,0
2014,4,1,1,18713.6,1,2,68.8,2,3,20,0,0,0,1600,708,1,4,3.19,60,68,63.8,0
2014,4,1,1,26628.8,1,2,97.9,4,2,10,1,0,0,1000,822,2,4,3.19,60,68,31.9,60
2014,4,1,1,36390.88,1,2,133.79,2,1,41,0,0,0,1600,812,2,4,3.19,60,68,130.79,0
2014,4,1,1,54068.16,1,2,198.78,1,0,62,0,0,0,1000,617,1,4,3.19,60,68,197.78,0
2014,4,1,4,55080,3,2,45,6,39,0,0,0,0,1000,723,2,18,3.19,60,68,0,0
2015,4,1,5,0,3,2,0,0,0,0,0,0,0,1000,709,1,18,3.19,60,68,0,0
2015,4,1,1,272,2,2,2,0,2,0,0,0,0,1800,827,2,2,3.19,60,68,0,0
2015,4,1,1,1786.4,2,1,25.52,0,0,8,0,0,0,800,703,1,2,3.19,60,35,25.52,0
2015,4,1,3,1890,3,1,3,1,2,0,0,0,0,1200,809,2,18,3.19,60,35,0,0
2015,4,1,3,4896,3,2,4,0,4,0,0,0,0,1000,903,2,18,3.19,60,68,0,0
2015,4,1,5,5670,3,1,9,5,4,0,0,0,0,1600,530,1,18,3.19,60,35,0,0
2015,4,1,1,5792.5,2,1,82.75,3,0,25,0,0,0,1800,809,2,2,3.19,60,35,79.75,0
2015,4,1,1,8825.6,1,1,63.04,8,4,16,0,0,0,1400,906,2,4,3.19,60,35,51.04,0
2015,4,1,1,11485.6,1,1,82.04,3,21,16,0,0,7,1000,620,1,4,3.19,60,35,51.04,0
