Q29,Q1,Q16,Q17,Q17_1,Q19,Q21,Q26,Q27,Q28,Q21_1,Q22,Q23,Q24,Q26_1,Q27_1
What are your initials?,Agency Name,Park or Trail,Site Entrance Number,What month is it?,What day of the month is it?,What is the year?,Which timeslot best represents the time you will be onsite to conduct the count?,Is this a scheduled count? (was this count originally scheduled for the date and timeblock previously indicated?),"If not, when was it scheduled? Include date and time.","Bikes

Indicate total number of bikes, tricycles, unicycles, motorcycles. Count people, not the number of bikes. If there are 2 people on 1 bike, count it as 2.","Pedestrian/Skaters

Indicate total number of walkers, joggers, runners, baby strollers, skateboarders, inline and roller skaters, people in wheelchairs, etc.","Vehicles

Indicate total number of cars, vans, pickup trucks, and metro mobility van/buses.

Count the number of vehicles, not the number of people in them.","Buses

Indicate total number of charter, school, church group vehicles that hold more than 8 people. Be sure that the bus enters the park. Metro Transit buses on regular routes never enter parks and are NOT counted. 

Count the number of buses, not the number of people in them.","Horse Riders

Indicate total number of people on horses, not the number of horses. Two people on one horse =2 visits. Do not count mounted police or park patrols.","Boaters

Indicate total number of people arriving at the park by boat, not those towing a boat (that's counted in the vehicle category)."
sr,Washington County,St. Croix Bluffs Regional Park,1,August,29,2018,2:00-4:00 PM,Yes,NA,0,0,6,0,0,0
sh,Washington County,Hardwood Creek Regional Park,1,September,3,2018,10:00-12:00 PM,Yes,NA,3,2,0,0,0,0
sh,Washington County,Point Douglas Regional Trail,2,September,3,2018,12:00-2:00 PM,Yes,NA,9,0,0,0,0,0
ljm,Washington County,Cottage Grove Ravine Regional Park,1,September,1,2018,2:00-4:00 PM,Yes,NA,1,0,18,0,0,0
mc,Washington County,Point Douglas Regional Trail,1,July,30,2018,8:00-10:00 AM,Yes,NA,5,8,0,0,0,0
mc,Washington County,Point Douglas Regional Trail,2,August,27,2018,6:00-8:00 PM,Yes,NA,0,0,0,0,0,0
mc,Washington County,Cottage Grove Ravine Regional Park,1,July,16,2018,10:00-12:00 PM,Yes,NA,0,0,13,0,0,0
mc,Washington County,Cottage Grove Ravine Regional Park,1,July,23,2018,12:00-2:00 PM,Yes,NA,1,0,17,0,0,0
sh,Washington County,Point Douglas Regional Trail,1,June,12,2018,6:00-8:00 PM,Yes,NA,2,2,0,0,0,0
sh,Washington County,Point Douglas Regional Trail,2,July,14,2018,6:00-8:00 PM,Yes,NA,7,3,0,0,0,0
sh,Washington County,Point Douglas Regional Trail,1,September,1,2018,8:00-10:00 AM,Yes,NA,9,2,0,0,0,0
sh,Washington County,Point Douglas Regional Trail,1,August,25,2018,2:00-4:00 PM,Yes,NA,8,3,0,0,0,0
sh,Washington County,St. Croix Bluffs Regional Park,1,August,14,2018,6:00-8:00 PM,Yes,NA,0,0,11,0,0,0
ms,Washington County,Square Lake Special Recreation Feature,1,August,2,2018,12:00-2:00 PM,Yes,NA,0,0,15,0,0,0
bf,Washington County,Square Lake Special Recreation Feature,1,June,30,2018,10:00-12:00 PM,Yes,NA,1,0,42,0,0,0
kn,Washington County,Pine Point Regional Park,1,August,23,2018,10:00-12:00 PM,Yes,NA,2,0,2,0,0,0
sh,Washington County,Pine Point Regional Park,2,August,29,2018,10:00-12:00 PM,Yes,NA,7,3,0,0,0,0
rr,Washington County,Lake Elmo Park Reserve,1,July,4,2018,8:00-10:00 AM,Yes,NA,1,0,72,0,0,0
sh,Washington County,Big Marine Park Reserve,1,June,3,2018,2:00-4:00 PM,Yes,NA,2,0,26,0,0,0
ms,Washington County,Big Marine Park Reserve,1,June,9,2018,8:00-10:00 AM,Yes,NA,2,1,14,0,0,0
kg,Washington County,Big Marine Park Reserve,1,August,27,2018,12:00-2:00 PM,Yes,NA,2,0,20,0,0,0
is,Washington County,Big Marine Park Reserve,1,August,23,2018,6:00-8:00 PM,Yes,NA,2,1,17,0,0,0
