Q29,Q1,Q11,Q17,Q17_1,Q19,Q21,Q26,Q27,Q28,Q18,Q20,Q23,Q24,Q26_1,Q27_1
What are your initials?,Agency Name,Park or Trails,Site Entrance Number,What month is it?,What day of the month is it?,What is the year?,Which timeslot best represents the time you will be onsite to conduct the count?,Is this a scheduled count? (was this count originally scheduled for the date and timeblock previously indicated?),"If not, when was it scheduled? Include date and time.","Bikes

Indicate total number of bikes, tricycles, unicycles, motorcycles. Count people, not the number of bikes. If there are 2 people on 1 bike, count it as 2.","Pedestrian/Skaters

Indicate total number of walkers, joggers, runners, baby strollers, skateboarders, inline and roller skaters, people in wheelchairs, etc.","Vehicles

Indicate total number of cars, vans, pickup trucks, and metro mobility van/buses.

Count the number of vehicles, not the number of people in them.","Buses

Indicate total number of charter, school, church group vehicles that hold more than 8 people. Be sure that the bus enters the park. Metro Transit buses on regular routes never enter parks and are NOT counted. 

Count the number of buses, not the number of people in them.","Horse Riders

Indicate total number of people on horses, not the number of horses. Two people on one horse =2 visits. Do not count mounted police or park patrols.","Boaters

Indicate total number of people arriving at the park by boat, not those towing a boat (that's counted in the vehicle category)."
Bb,Ramsey County,Rice Creek North Regional Trail,2,July,8,2018,2:00-4:00 PM,Yes,NA,15,13,17,0,0,0
Bb,Ramsey County,Rice Creek West Regional Trail,1,July,8,2018,4:00-6:00 PM,Yes,NA,12,14,9,0,0,0
Bb,Ramsey County,Rice Creek North Regional Trail,7,July,10,2018,2:00-4:00 PM,Yes,NA,10,9,13,0,0,0
Bb,Ramsey County,Rice Creek West Regional Trail,1,July,10,2018,4:00-6:00 PM,Yes,NA,9,7,10,0,0,0
Bb,Ramsey County,Rice Creek North Regional Trail,3,July,14,2018,6:00-8:00 PM,Yes,NA,6,10,7,0,0,0
Bb,Ramsey County,Rice Creek West Regional Trail,6,July,14,2018,4:00-6:00 PM,Yes,NA,8,10,6,0,0,0
Bb,Ramsey County,Grass-Vadnais-Snail Lake Regional Park,1,July,14,2018,12:00-2:00 PM,Yes,NA,13,15,16,0,0,0
Bb,Ramsey County,Highway 96 Regional Trail,13,July,14,2018,2:00-4:00 PM,Yes,NA,11,13,10,4,0,0
Bb,Ramsey County,Tony Schmidt Regional Park,3,June,12,2018,12:00-2:00 PM,Yes,NA,14,17,10,0,0,0
Bb,Ramsey County,Grass-Vadnais-Snail Lake Regional Park,10,June,10,2018,4:00-6:00 PM,Yes,NA,15,13,18,0,0,0
Bb,Ramsey County,Long Lake Regional Park,1,June,10,2018,10:00-12:00 PM,Yes,NA,14,12,20,0,0,0
Bb,Ramsey County,Long Lake Regional Park,5,June,9,2018,2:00-4:00 PM,Yes,NA,14,17,11,0,0,0
Bb,Ramsey County,Highway 96 Regional Trail,8,June,9,2018,10:00-12:00 PM,Yes,NA,15,17,13,0,0,0
Bb,Ramsey County,Highway 96 Regional Trail,14,June,8,2018,4:00-6:00 PM,Yes,NA,12,14,17,3,0,0
Bb,Ramsey County,Rice Creek West Regional Trail,5,June,8,2018,10:00-12:00 PM,Yes,NA,10,13,12,0,0,0
Bb,Ramsey County,Tony Schmidt Regional Park,1,May,28,2018,4:00-6:00 PM,Yes,NA,15,27,30,0,0,0
LM,Ramsey County,Lakes Link Regional Trail,9,July,4,2018,4:00-6:00 PM,Yes,NA,7,2,0,0,0,0
LM,Ramsey County,Birch Lake Regional Park,6,July,14,2018,8:00-10:00 AM,No,6/30 8:00am,0,1,0,0,0,0
LM,Ramsey County,Grass-Vadnais-Snail Lake Regional Park,4,July,2,2018,6:00-8:00 PM,Yes,NA,12,8,10,0,0,0
LM,Ramsey County,Highway 96 Regional Trail,8,July,2,2018,4:00-6:00 PM,Yes,NA,0,1,0,0,0,0
LM,Ramsey County,Lakes Link Regional Trail,1,July,2,2018,2:00-4:00 PM,Yes,NA,5,1,84,0,0,0
